date,city,aqi_estimated,pm25,pm10,ozone,no2,co,temperature,humidity,wind_speed
2025-08-20,"Los Angeles, USA",115,6.4,18.6,75.1,0.5,87.3,19.3,51,8.1
2025-08-19,"Los Angeles, USA",112,4.8,15.3,74.1,0.5,84.5,22.9,56,6.9
2025-08-18,"Los Angeles, USA",90,3.9,11.6,66.9,0.5,83.3,21.7,52,8.2
2025-08-17,"Los Angeles, USA",57,3.7,9.9,57,0.6,77,25.1,69,7.8
2025-08-16,"Los Angeles, USA",63,3.7,8.5,58.7,0.5,80.9,24.1,63,6.7
2025-08-15,"Los Angeles, USA",61,4.8,12.2,58.2,0.5,85.5,24.1,66,7.5
2025-08-14,"Los Angeles, USA",59,5.7,14.3,57.6,0.6,103.3,22.9,66,8.1
2025-08-13,"Los Angeles, USA",110,11.8,20.9,73.7,0.5,149.1,23.1,56,7.5
2025-08-12,"Los Angeles, USA",137,14.5,25.7,81.2,0.6,141.9,25.9,67,6.3
2025-08-11,"Los Angeles, USA",129,16.7,27.8,79.1,0.5,163.2,25.6,67,7.2
2025-08-10,"Los Angeles, USA",99,8,18.3,69.6,0.4,90.3,20.7,57,6.6
2025-08-09,"Los Angeles, USA",88,7.5,21.8,66.2,0.3,76.1,25.5,68,6.8
2025-08-08,"Los Angeles, USA",76,7.3,20.8,62.6,0.4,73.4,25.8,60,7.6
2025-08-07,"Los Angeles, USA",68,6.5,16.7,60.2,0.6,71,27.9,65,7.8
2025-08-06,"Los Angeles, USA",97,6.4,16.7,68.9,0.5,85.5,20,68,7.7
2025-10-04,"London, UK",125,1.1,4.2,77.7,1.6,101.6,12.1,73,6.7
2025-10-03,"London, UK",12,2.9,5.1,70.4,3.2,97,12.1,73,6.7
2025-10-02,"London, UK",151,9.4,11.1,86.2,5.8,128.2,12.1,73,6.7
2025-10-01,"London, UK",122,11,12.8,76.9,9.8,115.6,12.1,73,6.7
2025-09-30,"London, UK",148,7.9,8.9,84.4,9.3,109.7,12.1,73,6.7
2025-09-29,"London, UK",95,7.7,9.4,68.4,14.3,119.1,12.1,73,6.7
2025-09-28,"London, UK",69,3.9,5.8,60.7,10.3,114.1,10.1,64,7.1
2025-09-27,"London, UK",112,3.3,4.1,74,3.6,118.5,7.8,74,7.6
2025-09-26,"London, UK",91,3.2,4,67.1,4.3,121.4,9.7,67,7.5
2025-09-25,"London, UK",117,3.3,5.8,75.6,5.2,111,16.7,69,6.6
2025-09-24,"London, UK",146,1.9,5.2,83.7,5.5,108,12,79,6.7
2025-09-23,"London, UK",136,1,2.5,80.9,4.7,104.2,15.9,65,6.6
2025-09-22,"London, UK",144,1.1,3.3,83.1,4.6,103.9,14.6,81,7.6
2025-09-21,"London, UK",114,1,2.8,74.6,4.5,106.7,11.7,67,6.3
2025-09-20,"London, UK",116,2.2,4.1,75.2,4,104.7,16.2,83,6
2025-09-19,"London, UK",47,11.2,14.4,43.4,22.7,116.4,7.9,76,7.4
2025-09-18,"London, UK",48,5.1,9.3,51.5,15.2,99.1,15.4,81,6.9
2025-09-17,"London, UK",139,3.1,9.1,81.8,3.6,93.9,10.7,79,6
2025-09-16,"London, UK",131,1.2,3.6,79.6,2.6,108.5,7.7,73,7.4
2025-09-15,"London, UK",100,1.3,4.7,70,1.4,117.5,13.8,75,7.1
2025-09-14,"London, UK",119,3.1,7.4,76.1,2.2,96.7,16.6,63,7.5
2025-09-13,"London, UK",152,1,2.7,86.4,2.4,100.3,16.3,64,6.6
2025-09-12,"London, UK",146,0.8,1.9,83.8,1.7,108.8,8.3,73,5.7
2025-09-11,"London, UK",104,0.9,3,71.8,1.4,113.3,11.5,80,7.5
2025-09-10,"London, UK",112,1.4,3.3,74.3,2.2,128,8.2,82,7.6
2025-09-09,"London, UK",119,0.6,1,76,2.1,106.9,15.1,67,7.4
2025-09-08,"London, UK",135,0.7,1.6,80.7,2.3,104.4,9.6,70,6.9
2025-09-07,"London, UK",114,2.7,5.8,74.6,4.7,105.4,13.9,80,7
2025-09-06,"London, UK",127,4.5,7.1,78.6,5.7,113.5,8.5,82,6.3
2025-09-05,"London, UK",102,2.5,5,71.4,5,114.8,10,73,6.4
2025-09-04,"London, UK",114,0.6,1.4,74.8,1.8,107.5,12.7,78,6.8
2025-09-03,"London, UK",114,1.6,5.1,74.7,1.9,100.7,8.4,64,6
2025-09-02,"London, UK",91,2.3,5,67.3,2.7,95,11.7,78,5.7
2025-09-01,"London, UK",114,0.8,1.8,74.8,2,112,8.7,70,6.2
2025-08-31,"London, UK",126,0.9,2.1,78,1.9,103.9,14.1,79,6.6
2025-08-30,"London, UK",107,2.3,5.3,72.6,2.6,100,7.4,70,7.1
2025-08-29,"London, UK",91,0.9,2.1,67.1,2.3,111,13.2,67,6.3
2025-08-28,"London, UK",142,1.1,2.4,82.6,2.2,106.1,11.4,66,6.5
2025-08-27,"London, UK",149,1.1,2.6,84.8,2.8,109.4,11,71,6.9
2025-08-26,"London, UK",140,1.6,4.4,82.2,3.4,119.3,11.2,72,6.3
2025-08-25,"London, UK",159,10.7,15.2,89.3,9.8,127.2,15.9,80,6.3
2025-08-24,"London, UK",164,4.7,8.1,91,6.2,123.1,12.4,77,6.1
2025-08-23,"London, UK",154,9.3,12.2,87.1,7.4,125.7,14.5,78,7.5
2025-08-22,"London, UK",165,8,12.2,91.5,9.3,121.9,12.7,83,5.7
2025-08-21,"London, UK",140,1.9,4.6,82.2,4.8,120.4,16.1,79,7.1
2025-08-20,"London, UK",98,2.6,8.8,69.5,5.2,125.4,7.4,65,7.6
2025-08-19,"London, UK",153,5.4,12.6,86.7,5.2,143.9,10.9,77,6.7
2025-08-18,"London, UK",143,4.1,10.7,83,4.7,132.7,14.6,83,6.8
2025-08-17,"London, UK",134,2.6,7.6,80.5,2.6,126.2,8.4,77,7.5
2025-08-16,"London, UK",156,2.7,8.7,88,2.4,140.6,16.7,75,6
2025-08-15,"London, UK",125,9.5,13.8,77.9,13.7,133.9,17,63,6.9
2025-08-14,"London, UK",70,5.8,11.1,60.8,14.6,121,9.4,83,5.9
2025-08-13,"London, UK",114,14.9,24,74.7,16.4,122.6,10.5,76,7.5
2025-08-12,"London, UK",169,23,37.5,93.1,16.1,139.5,10.3,71,7.3
2025-08-11,"London, UK",227,15.1,20.6,130.2,6.4,172.3,12.6,82,7.6
2025-08-10,"London, UK",136,10,17.5,81.1,13.6,153.5,11,72,7.4
2025-08-09,"London, UK",114,3.2,8.5,74.8,7.8,116.4,16.3,77,6.5
2025-08-08,"London, UK",126,2.5,6.1,78.1,6.3,141.5,16.8,77,7.1
2025-08-07,"London, UK",120,4,7.7,76.4,5.5,137,14.4,81,6
2025-08-06,"London, UK",148,5.1,10.4,84.6,7.3,130.3,17,73,6.5
2025-10-04,"Tokyo, Japan",181,9.4,17.1,97.7,7.5,122.3,22,88,1.5
2025-10-03,"Tokyo, Japan",166,4.3,7.1,91.7,9.4,116.7,22,88,1.5
2025-10-02,"Tokyo, Japan",176,8.6,11.3,95.8,12.1,132.5,22,88,1.5
2025-10-01,"Tokyo, Japan",198,10.7,12.5,104.2,8.8,139,22,88,1.5
2025-09-30,"Tokyo, Japan",160,5.1,8.6,89.4,12.4,127.6,22,88,1.5
2025-09-29,"Tokyo, Japan",176,4.4,8.6,95.8,8,129.3,22,88,1.5
2025-09-28,"Tokyo, Japan",178,5.1,8.9,96.5,1.9,116.1,24,78,1.1
2025-09-27,"Tokyo, Japan",197,5.4,9.8,103.8,1.9,112.2,26.2,79,0.9
2025-09-26,"Tokyo, Japan",198,16.9,25.7,104,6.4,139.3,25.9,95,1.2
2025-09-25,"Tokyo, Japan",214,17.7,30.5,118.5,4.1,129.7,18.9,84,1.2
2025-09-24,"Tokyo, Japan",198,4.3,16,104.1,2.3,98.5,23,88,1.2
2025-09-23,"Tokyo, Japan",14,3.3,12.7,105.6,4.2,102.8,20.4,94,2.5
2025-09-22,"Tokyo, Japan",12,3,10.2,105.6,4.7,102.7,25.8,81,0.8
2025-09-21,"Tokyo, Japan",170,3,8.2,93.4,6.2,110.8,19.3,91,2.1
2025-09-20,"Tokyo, Japan",140,5.7,9.7,82.2,3,116.2,25.2,90,2
2025-09-19,"Tokyo, Japan",159,3.2,7.2,89,3.8,113.6,25.1,81,2.2
2025-09-18,"Tokyo, Japan",109,5.4,9.8,73.2,10.1,137.6,24.5,88,1.3
2025-09-17,"Tokyo, Japan",77,16.3,22.5,63.1,3.3,103.9,25.9,81,1.6
2025-09-16,"Tokyo, Japan",173,18,24.6,94.5,1.4,147,24.5,82,2.5
2025-09-15,"Tokyo, Japan",178,24,37,96.5,3.8,138.8,26.7,85,2
2025-09-14,"Tokyo, Japan",91,16.8,26.7,67.3,11.6,131.7,21.1,98,1.9
2025-09-13,"Tokyo, Japan",37,3.8,11.7,40.3,1.6,78,23.9,79,1.7
2025-09-12,"Tokyo, Japan",45,4.5,6.1,48.2,5.4,99.6,25.6,83,2
2025-09-11,"Tokyo, Japan",66,9.8,11.7,59.6,18.8,142.3,22.8,97,1.5
2025-09-10,"Tokyo, Japan",110,2.3,5.9,73.5,1.5,88.9,26,92,1.4
2025-09-09,"Tokyo, Japan",102,18,24.7,71.2,1.8,91.6,22.5,78,0.6
2025-09-08,"Tokyo, Japan",198,30,41.5,104,2.7,117,18.2,81,1.3
2025-09-07,"Tokyo, Japan",202,24.9,36.4,106.9,2.1,120.5,22.3,92,2.4
2025-09-06,"Tokyo, Japan",194,6.7,15.1,102.7,1,106.3,26.4,87,1.1
2025-09-05,"Tokyo, Japan",77,7.5,13.5,63,11.9,125.3,23.2,83,0.7
2025-09-04,"Tokyo, Japan",24,2.9,6.4,25.8,3.2,83.1,22.4,87,2.2
2025-09-03,"Tokyo, Japan",32,2.9,3.5,34.2,4.4,92.8,25.3,86,0.8
2025-09-02,"Tokyo, Japan",34,1.7,4.2,37,1.5,74.3,24.3,79,1.7
2025-09-01,"Tokyo, Japan",45,1.6,4.3,48.3,1.2,77.7,22.7,87,1.7
2025-08-31,"Tokyo, Japan",139,9.1,15.1,81.7,2,101.4,26.1,91,2.4
2025-08-30,"Tokyo, Japan",182,21.7,33.2,97.8,2.8,131.4,24.1,78,1.1
2025-08-29,"Tokyo, Japan",159,15.3,23.6,89,2.4,110.3,22.5,83,1.6
2025-08-28,"Tokyo, Japan",145,15,23.1,83.5,3.8,116.2,24,77,1
2025-08-27,"Tokyo, Japan",93,13.4,20.4,67.9,7.6,118,17.8,85,1.8
2025-08-26,"Tokyo, Japan",60,3.1,8.4,57.7,1.1,76.7,17.6,89,0.8
2025-08-25,"Tokyo, Japan",99,5.8,9.6,69.6,1.7,98,23.7,89,1.8
2025-08-24,"Tokyo, Japan",143,9.8,15,83.1,2.2,108.8,22.6,76,1.4
2025-08-23,"Tokyo, Japan",102,5.3,9.1,71.2,1.6,110.1,17.3,85,0.9
2025-08-22,"Tokyo, Japan",44,2.4,6.4,47.9,1.7,85.3,18,82,0.8
2025-08-21,"Tokyo, Japan",53,9.1,18.8,55.5,4.8,96.9,21.8,92,1
2025-08-20,"Tokyo, Japan",112,8.9,18.1,74.2,2.7,92.6,21.2,80,0.7
2025-08-19,"Tokyo, Japan",62,4.4,12.5,58.3,1.6,79.3,24.9,90,1.4
2025-08-18,"Tokyo, Japan",67,4.5,12.1,59.9,1.5,80.5,20.7,91,1.4
2025-08-17,"Tokyo, Japan",34,8.2,18.1,85.1,2,103.2,27.1,76,1.8
2025-08-16,"Tokyo, Japan",143,3.6,9.5,83.1,1,96.5,21.1,94,0.6
